TP;TN;FN;FP;
273;17;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
279;11;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
282;8;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
278;12;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\017_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
280;10;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\018_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
284;6;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\019_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
283;7;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\020_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
283;7;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\021_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
281;9;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\022_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
287;3;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\023_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
285;5;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\024_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
286;4;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\025_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
282;8;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\026_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
