TP;TN;FN;FP;
41;1047;171;46443;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
44;1044;174;46440;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
39;1049;203;46411;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
53;1035;222;46392;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
59;1029;313;46301;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
62;1026;283;46331;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
55;1033;338;46276;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
88;1000;384;46230;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\017_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
66;1022;374;46240;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\018_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
112;976;452;46162;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\019_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
138;950;538;46076;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\020_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
137;951;519;46095;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\021_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
166;922;513;46101;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\022_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
172;916;625;45989;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\023_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
213;875;757;45857;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\024_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
227;861;706;45908;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\025_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
207;881;769;45845;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\026_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
251;837;800;45814;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\027_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
291;797;716;45898;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\028_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
335;753;1003;45611;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\029_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
342;746;819;45795;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
